 	Denovo A	Denovo B	Denovo C	Denovo D	Denovo E
SBS16	0.31693700250301216	0.1939231022694614	0.27248411031551	0.3010260997032628	0.24612974593892745
SBS17a	0.22560826948795343	0.17249618836622793	0.09143274362448073	0.21781833241366577	0.25473852631573124
SBS17b	0.18833304939863915	0.17584529788988223	0.18618904566601202	0.07903167974206737	0.1509311393982986
SBS18	0.33549880390469733	0.35933149948303245	0.43141786012971917	0.37493901322230916	0.345280560868122
SBS19	0.2761519502101828	0.256574628457215	0.2747752174961291	0.3179282119547375	0.32413799728889914
SBS20	0.2437059427919841	0.3452378263430871	0.3367849682032964	0.2470027816386523	0.3304260964953629
SBS21	0.23734677451104236	0.22776755356746725	0.2262733103918917	0.28986757932164453	0.22427426918344184
SBS22	0.3675368925032001	0.40914666931411303	0.283811059413579	0.32337358649973447	0.3478989475843697
SBS23	0.2848265950992519	0.242016093139777	0.23776285739934622	0.3165322789684337	0.35390549439412866
SBS24	0.4139404234749432	0.444076560192985	0.4508900444561623	0.3487761630738474	0.3857147558933822
SBS25	0.6514646761452408	0.696401955999286	0.5964610263199975	0.703093709502044	0.6736375819677385
SBS26	0.33626682554197984	0.3149305289291322	0.34052775767710386	0.4255973691205397	0.3455424247299599
SBS27	0.27976259084637545	0.3212254074774501	0.16693394529696548	0.13638282018666303	0.2731160558098039
SBS28	0.1933781826035107	0.21614324763376558	0.17757469280351756	0.16968847431596434	0.13584226341885586
SBS29	0.3511185793983782	0.4022647507923791	0.43904701276982927	0.3135162341842006	0.3125636569901806
SBS30	0.3987215537046954	0.3324683995148424	0.22699499861267713	0.3181402839470311	0.3774699043459391
SBS31	0.4331475338773232	0.415978747601077	0.3493139963993419	0.4534995328349034	0.41094766126060434
SBS32	0.39154816403007153	0.29715663212128085	0.25923889397679034	0.4056558201601752	0.4271957359018459
SBS33	0.22182278284182888	0.20413795816066627	0.20801528044276008	0.324029583798098	0.15732496043986943
SBS34	0.2063132823510465	0.2577783770727681	0.23809699199297618	0.15313598921870208	0.2279421556532195
SBS35	0.49641305558716087	0.5470718071371812	0.44507284661499513	0.4313270638358703	0.48112197860348904
SBS36	0.2371575167416895	0.2749907830357179	0.34093262489091514	0.30213603832969205	0.2775356616289615
SBS37	0.4710594468543299	0.44222440398923	0.43549182945736065	0.4859823458376368	0.4349585897543614
SBS38	0.13778654249860178	0.1997131721465244	0.2593938431334011	0.16443948474860837	0.20232568449543664
SBS39	0.6232490607361392	0.5960058264117781	0.6480054163614533	0.6403716374304709	0.6203984443954065
SBS40	0.7199486577732116	0.7013334286041535	0.7234556256204642	0.7152278654783301	0.7240713605628378
SBS41	0.4279858395493621	0.5064638348585464	0.46733134533293763	0.46511488720897887	0.4214666331768884
SBS42	0.36259729309022504	0.3577565738861548	0.36964183980699294	0.38477035250322156	0.47377030963651456
SBS43	0.3457862128880267	0.22250522760545666	0.20282790877555712	0.3470501412573854	0.29272645591358204
SBS44	0.3842554906487756	0.3895672128071668	0.396705453379971	0.39954531465088894	0.46283621096745975
SBS45	0.1467061610245476	0.24010807843576976	0.303664771835787	0.22592016531034065	0.24646659113598446
SBS46	0.4278402564672432	0.41967501952964625	0.3702476102146631	0.4853092282058402	0.4247096109715258
SBS47	0.33603403019668554	0.3629603293632828	0.29506336549697665	0.23947233941931967	0.3296059337087819
SBS48	0.02369488774052575	0.10318880649710171	0.11078201031970969	0.11163579384301925	0.1826024239231161
SBS49	0.11590364621589255	0.07688707677991136	0.11717751219783634	0.15044422433065474	0.21308589801625877
SBS50	0.401054266151854	0.3865928431588268	0.249272832187575	0.2831052786248812	0.2925949579348939
SBS51	0.407527671358465	0.38003169512367885	0.3415134496781018	0.3634881748661356	0.3813893060821779
SBS52	0.0698720194006579	0.15344296583393124	0.2550244874982177	0.1520006417289983	0.12879976706409813
SBS53	0.205705534337854	0.21467483911931773	0.28306330178083594	0.21623185008089885	0.2567024394732973
SBS54	0.19457281099526003	0.22195219739857153	0.29735826918613084	0.33100383964318647	0.24599323327563138
SBS55	0.28414851444662526	0.1871072973894824	0.18642357853034552	0.3105566461107092	0.2917074529664212
SBS56	0.13381883743064993	0.17550201735785298	0.22540951478638427	0.22459480951680888	0.18947046000324275
SBS57	0.38218102738556103	0.40185166058214206	0.33307752122636525	0.37794220337192996	0.31509506614153526
SBS58	0.3938311778462815	0.3624551128868265	0.26889934766615065	0.35679756979164445	0.3819066205577075
SBS59	0.21507404541137387	0.09355603453186156	0.19720902854292943	0.0550438661844721	0.10682377408720223
SBS60	0.15749994499498132	0.04870041717891416	0.07356505231825783	0.21272838476233646	0.17686770752830427
SBS84	0.3371090973097952	0.2769417585384	0.28856466744500553	0.2843765721064778	0.4143027585883834
SBS85	0.4295211974692088	0.4119524334481657	0.4065930274413476	0.35877277158560905	0.4046741119072135
